,keyword,date,index_num
0,抑郁症,2020-01-31,285534
1,抑郁症,2020-02-29,282267
2,抑郁症,2020-03-31,372922
3,抑郁症,2020-04-30,360756
4,抑郁症,2020-05-31,355954
5,抑郁症,2020-06-30,321871
6,抑郁症,2020-07-31,395480
7,抑郁症,2020-08-31,383952
8,抑郁症,2020-09-30,341792
9,抑郁症,2020-10-31,257688
10,抑郁症,2020-11-30,176261
11,抑郁症,2020-12-31,212155
12,抑郁症,2021-01-31,358698
13,抑郁症,2021-02-28,345817
14,抑郁症,2021-03-31,391147
15,抑郁症,2021-04-30,345862
16,抑郁症,2021-05-31,346219
17,抑郁症,2021-06-30,294368
18,抑郁症,2021-07-31,292698
19,抑郁症,2021-08-31,354779
20,抑郁症,2021-09-30,309164
21,抑郁症,2021-10-31,318444
22,抑郁症,2021-11-30,281850
23,抑郁症,2021-12-31,281457
24,抑郁症,2022-01-31,268343
25,抑郁症,2022-02-28,272001
26,抑郁症,2022-03-31,297014
27,抑郁症,2022-04-30,295126
28,抑郁症,2022-05-31,273849
29,疫情,2020-01-31,5712559
30,疫情,2020-02-29,23449289
31,疫情,2020-03-31,18602777
32,疫情,2020-04-30,12519045
33,疫情,2020-05-31,7339423
34,疫情,2020-06-30,7074239
35,疫情,2020-07-31,5762485
36,疫情,2020-08-31,4059407
37,疫情,2020-09-30,3059660
38,疫情,2020-10-31,3659169
39,疫情,2020-11-30,3946757
40,疫情,2020-12-31,6098736
41,疫情,2021-01-31,13407790
42,疫情,2021-02-28,3055258
43,疫情,2021-03-31,1673428
44,疫情,2021-04-30,1813410
45,疫情,2021-05-31,3354976
46,疫情,2021-06-30,2659515
47,疫情,2021-07-31,4193695
48,疫情,2021-08-31,9896245
49,疫情,2021-09-30,3251846
50,疫情,2021-10-31,4179611
51,疫情,2021-11-30,5884701
52,疫情,2021-12-31,6635593
53,疫情,2022-01-31,9232973
54,疫情,2022-02-28,6523128
55,疫情,2022-03-31,19723756
56,疫情,2022-04-30,12828551
57,疫情,2022-05-31,5874687
